code,date,min,max
PHUOCLONG,2018-01-01,0.0,0.0
PHUOCLONG,2018-01-02,0.0,0.0
PHUOCLONG,2018-01-03,0.0,0.0
PHUOCLONG,2018-01-04,0.0,0.0
PHUOCLONG,2018-01-05,0.0,0.0
PHUOCLONG,2018-01-06,0.0,0.0
PHUOCLONG,2018-01-07,0.0,0.0
PHUOCLONG,2018-01-08,0.0,0.0
PHUOCLONG,2018-01-09,0.0,0.0
PHUOCLONG,2018-01-10,0.0,0.0
PHUOCLONG,2018-01-11,0.0,0.0
PHUOCLONG,2018-01-12,0.0,0.0
PHUOCLONG,2018-01-13,0.0,0.0
PHUOCLONG,2018-01-14,0.0,0.0
PHUOCLONG,2018-01-15,0.0,0.0
PHUOCLONG,2018-01-16,0.0,0.0
PHUOCLONG,2018-01-17,0.0,0.0
PHUOCLONG,2018-01-18,0.0,0.0
PHUOCLONG,2018-01-19,0.0,0.0
PHUOCLONG,2018-01-20,0.0,0.0
PHUOCLONG,2018-01-21,0.0,0.0
PHUOCLONG,2018-01-22,0.0,0.0
PHUOCLONG,2018-01-23,0.0,0.0
PHUOCLONG,2018-01-24,0.0,0.0
PHUOCLONG,2018-01-25,0.0,0.0
PHUOCLONG,2018-01-26,0.0,0.0
PHUOCLONG,2018-01-27,0.0,0.0
PHUOCLONG,2018-01-28,0.0,0.0
PHUOCLONG,2018-01-29,0.0,0.0
PHUOCLONG,2018-01-30,0.0,0.0
PHUOCLONG,2018-01-31,0.0,0.0
PHUOCLONG,2018-02-01,0.0,0.0
PHUOCLONG,2018-02-02,0.0,0.0
PHUOCLONG,2018-02-03,0.0,0.0
PHUOCLONG,2018-02-04,0.0,0.0
PHUOCLONG,2018-02-05,0.0,0.0
PHUOCLONG,2018-02-06,0.0,0.1
PHUOCLONG,2018-02-07,0.0,0.1
PHUOCLONG,2018-02-08,0.0,0.1
PHUOCLONG,2018-02-09,0.0,0.1
PHUOCLONG,2018-02-10,0.0,0.1
PHUOCLONG,2018-02-11,0.0,0.1
PHUOCLONG,2018-02-12,0.6,1.5
PHUOCLONG,2018-02-13,0.9,1.8
PHUOCLONG,2018-02-14,0.7,1.4
PHUOCLONG,2018-02-15,0.5,1.2
PHUOCLONG,2018-02-16,0.4,0.9
PHUOCLONG,2018-02-17,0.2,0.4
PHUOCLONG,2018-02-18,0.4,0.7
PHUOCLONG,2018-02-19,0.3,0.7
PHUOCLONG,2018-02-20,0.2,0.6
PHUOCLONG,2018-02-21,0.2,0.5
PHUOCLONG,2018-02-22,0.2,0.4
PHUOCLONG,2018-02-23,0.1,0.2
PHUOCLONG,2018-02-24,0.1,0.3
PHUOCLONG,2018-02-25,0.1,0.2
PHUOCLONG,2018-02-26,0.1,0.2
PHUOCLONG,2018-02-27,0.4,0.8
PHUOCLONG,2018-02-28,0.7,1.2
PHUOCLONG,2018-03-01,0.4,1.0
PHUOCLONG,2018-03-02,0.5,1.2
PHUOCLONG,2018-03-03,0.4,0.9
PHUOCLONG,2018-03-04,0.4,1.1
PHUOCLONG,2018-03-05,0.6,0.7
PHUOCLONG,2018-03-06,0.5,0.8
PHUOCLONG,2018-03-07,0.3,0.9
PHUOCLONG,2018-03-08,0.4,1.1
PHUOCLONG,2018-03-09,0.7,1.4
PHUOCLONG,2018-03-10,0.4,1.4
PHUOCLONG,2018-03-11,0.5,1.3
PHUOCLONG,2018-03-12,2.7,3.8
PHUOCLONG,2018-03-13,3.4,4.5
PHUOCLONG,2018-03-14,2.9,6.7
PHUOCLONG,2018-03-15,4.5,5.7
PHUOCLONG,2018-03-16,3.1,4.7
PHUOCLONG,2018-03-17,2.9,3.0
PHUOCLONG,2018-03-18,2.5,2.8
PHUOCLONG,2018-03-19,2.0,4.5
PHUOCLONG,2018-03-20,3.5,4.2
PHUOCLONG,2018-03-21,3.8,3.9
PHUOCLONG,2018-03-22,2.2,4.1
PHUOCLONG,2018-03-23,2.2,2.6
PHUOCLONG,2018-03-24,2.4,3.0
PHUOCLONG,2018-03-25,3.5,3.8
PHUOCLONG,2018-03-26,4.8,5.1
PHUOCLONG,2018-03-27,4.2,5.2
PHUOCLONG,2018-03-28,3.7,3.9
PHUOCLONG,2018-03-29,3.4,4.2
PHUOCLONG,2018-03-30,2.5,4.5
PHUOCLONG,2018-03-31,3.7,5.2
PHUOCLONG,2018-04-01,2.0,3.9
PHUOCLONG,2018-04-02,2.1,4.1
PHUOCLONG,2018-04-03,1.9,3.8
PHUOCLONG,2018-04-04,2.5,5.1
PHUOCLONG,2018-04-05,2.2,4.2
PHUOCLONG,2018-04-06,2.8,4.5
PHUOCLONG,2018-04-07,2.4,4.0
PHUOCLONG,2018-04-08,2.0,3.9
PHUOCLONG,2018-04-09,1.9,3.5
PHUOCLONG,2018-04-10,2.8,4.1
PHUOCLONG,2018-04-11,2.9,4.9
PHUOCLONG,2018-04-12,3.2,5.1
PHUOCLONG,2018-04-13,3.5,5.3
PHUOCLONG,2018-04-14,3.1,4.8
PHUOCLONG,2018-04-15,3.2,5.4
PHUOCLONG,2018-04-16,2.8,4.8
PHUOCLONG,2018-04-17,2.3,4.7
PHUOCLONG,2018-04-18,2.0,4.2
PHUOCLONG,2018-04-19,1.9,3.8
PHUOCLONG,2018-04-20,2.0,3.1
PHUOCLONG,2018-04-21,1.5,2.8
PHUOCLONG,2018-04-22,0.9,1.5
PHUOCLONG,2018-04-23,0.7,1.4
PHUOCLONG,2018-04-24,1.0,2.0
PHUOCLONG,2018-04-25,1.2,2.4
PHUOCLONG,2018-04-26,1.4,2.8
PHUOCLONG,2018-04-27,1.5,2.0
PHUOCLONG,2018-04-28,0.9,2.9
PHUOCLONG,2018-04-29,0.7,2.6
PHUOCLONG,2018-04-30,1.7,2.1
PHUOCLONG,2018-05-01,0.8,1.5
PHUOCLONG,2018-05-02,0.7,1.2
PHUOCLONG,2018-05-03,0.6,1.0
PHUOCLONG,2018-05-04,0.4,0.9
PHUOCLONG,2018-05-05,0.5,0.8
PHUOCLONG,2018-05-06,0.2,0.4
PHUOCLONG,2018-05-07,0.1,0.2
PHUOCLONG,2018-05-08,0.1,0.2
PHUOCLONG,2018-05-09,0.2,0.3
PHUOCLONG,2018-05-10,0.1,0.5
PHUOCLONG,2018-05-11,0.2,1.0
PHUOCLONG,2018-05-12,0.3,1.2
PHUOCLONG,2018-05-13,0.4,1.4
PHUOCLONG,2018-05-14,0.8,1.5
PHUOCLONG,2018-05-15,0.7,1.2
PHUOCLONG,2018-05-16,1.0,2.0
PHUOCLONG,2018-05-17,0.7,1.7
PHUOCLONG,2018-05-18,0.9,1.5
PHUOCLONG,2018-05-19,0.4,0.9
PHUOCLONG,2018-05-20,0.2,0.5
PHUOCLONG,2018-05-21,0.1,0.2
PHUOCLONG,2018-05-22,0.1,0.1
PHUOCLONG,2018-05-23,0.1,0.1
PHUOCLONG,2018-05-24,0.1,0.1
PHUOCLONG,2018-05-25,0.1,0.1
PHUOCLONG,2018-05-26,0.1,0.1
PHUOCLONG,2018-05-27,0.1,0.1
PHUOCLONG,2018-05-28,0.1,0.1
PHUOCLONG,2018-05-29,0.1,0.1
PHUOCLONG,2018-05-30,0.1,0.1
PHUOCLONG,2018-05-31,0.1,0.1
