code,name,x,y,ft,cm
TIENTHUY,Tiên Thuỷ,638108.956289,1132743.34179,7,213.36
PHUOCLONG,Phước Long,654447.978493,1120366.11273,13,396.24
MOCAY,Mỏ Cày,640695.880964,1114676.77078,22,670.56
TANTHIENG,Tân Thiềng,633534.72801,1123276.54032,17,518.16
VANGQUOITAY,Vang Quới Tây,668101.637133,1134363.39362,31,944.88
CAMSON,Cẩm Sơn,647782.351306,1108081.20329,19,579.12
LOCTHUAN,Lộc Thuận,674962.031074,1132414.50741,9,274.32
C.SONDOC,C. Sơn Đốc,661073.138933,1111850.93564,2,60.96
C.CAIMIT,C. Cái Mít,656680.707953,1117059.977,12,365.76
SONPHU,Sơn Phú,651337.942599,1125205.88153,24,731.52
MYTHANH,Mỹ Thành,645305.990419,1132921.35333,23,701.04
THANHTHOIA,Thành Thới A,643380.956561,1110967.48283,0,0
HUNGKHANHTRUNGB,Hưng Khánh Trung B,637118.658793,1118236.52496,8,243.84
MYHOA,Mỹ Hoá,647099.941724,1130345.31149,0,0
SONDOC,Sơn Đốc,667286.50373,1108588.58448,1,30.48
ANTHUAN,An Thuận,672322.047183,1105548.3639,0,0
BENTRAI,Bến Trại,668547.047183,1092073.3639,0,0
HUONGMY,Hương Mỹ,651972.431176,1104087.86641,6,182.88
BINHDAI,Bình Đại,685869.535046,1128715.31327,5,152.4
GIAOHOA,Giao Hoà,659097.047183,1137873.3639,10,304.8
